GroupId,GroupName,GroupDescription,ID,Shortname,LongName,Description
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5081,CLHI,Cic_Layer_Hside_Interior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5082,CLHIF,Cic_Layer_Hside_Interior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5083,CLHET,Cic_Layer_Hside_Edge_Top,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5084,CLHETF,Cic_Layer_Hside_Edge_Top_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5085,CLHEB,Cic_Layer_Hside_Edge_Bottom,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5086,CLHEBF,Cic_Layer_Hside_Edge_Bottom_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5087,CLHEK,Cic_Layer_Hside_Edge_bacK,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5088,CLHEKF,Cic_Layer_Hside_Edge_bacK_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5089,CLBE,Cic_Layer_Bottom_Exterior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5090,CLBEF,Cic_Layer_Bottom_Exterior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5091,CLBI,Cic_Layer_Bottom_Interior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5092,CLBIF,Cic_Layer_Bottom_Interior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5093,CLBEB,Cic_Layer_Bottom_Edge_Back,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5094,CLBEBF,Cic_Layer_Bottom_Edge_Back_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5095,CLBEL,Cic_Layer_Bottom_Edge_Left,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5096,CLBELF,Cic_Layer_Bottom_Edge_Left_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5097,CLBER,Cic_Layer_Bottom_Edge_Right,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5098,CLBERF,Cic_Layer_Bottom_Edge_Right_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5099,CLKE,Cic_Layer_bacK_Exterior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5100,CLKEF,Cic_Layer_bacK_Exterior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5101,CLKI,Cic_Layer_bacK_Interior,Used in 2020 Design Database for CiC
